"city","area","count"
"上海市","浦东新区","183"
"重庆市","渝中区","126"
"北京市","大兴区","113"
"北京市","朝阳区","58"
"重庆市","渝北区","57"
"广州市","天河区","56"
"上海市","闵行区","50"
"广州市","白云区","49"
"上海市","长宁区","47"
"北京市","海淀区","44"
"武汉市","洪山区","43"
"深圳市","宝安区","42"
"武汉市","武昌区","37"
"杭州市","萧山区","36"
"南京市","玄武区","34"
"北京市","顺义区","32"
"厦门市","思明区","27"
"重庆市","沙坪坝区","27"
"深圳市","福田区","25"
"南京市","江宁区","25"
"郑州市","金水区","23"
"成都市","武侯区","22"
"重庆市","江北区","21"
"杭州市","上城区","21"
"北京市","东城区","20"
"成都市","郫都区","20"
"北京市","西城区","19"
"长沙市","芙蓉区","19"
"深圳市","南山区","18"
"上海市","徐汇区","18"
"北京市","丰台区","18"
"青岛市","黄岛区","17"
"广州市","越秀区","17"
"重庆市","南岸区","17"
"杭州市","拱墅区","17"
"西安市","莲湖区","17"
"合肥市","蜀山区","16"
"青岛市","崂山区","16"
"长沙市","岳麓区","16"
"济南市","历城区","16"
"成都市","温江区","16"
"贵阳市","白云区","16"
"西安市","雁塔区","15"
"丽江市","古城区","15"
"西安市","长安区","15"
"苏州市","姑苏区","15"
"厦门市","湖里区","15"
"郑州市","新郑市","15"
"上海市","静安区","14"
"南京市","秦淮区","14"
"贵阳市","南明区","14"
"武汉市","黄陂区","14"
"杭州市","钱塘区","14"
"成都市","双流区","14"
"济南市","市中区","13"
"克拉玛依市","克拉玛依区","13"
"太原市","小店区","13"
"南京市","鼓楼区","13"
"成都市","青羊区","13"
"济南市","历下区","13"
"广州市","番禺区","13"
"成都市","简阳市","13"
"青岛市","市北区","13"
"厦门市","集美区","12"
"惠州市","惠阳区","12"
"合肥市","包河区","12"
"上海市","普陀区","11"
"西安市","碑林区","11"
"临沂市","兰山区","11"
"香港特别行政区","离岛区","11"
"咸阳市","渭城区","11"
"石家庄市","长安区","10"
"深圳市","龙华区","10"
"天津市","河东区","10"
"上海市","青浦区","10"
"青岛市","市南区","10"
"深圳市","龙岗区","10"
"郑州市","二七区","10"
"南京市","浦口区","10"
"杭州市","西湖区","9"
"上海市","黄浦区","9"
"武汉市","江夏区","9"
"长春市","朝阳区","9"
"大连市","甘井子区","9"
"南京市","栖霞区","9"
"昆明市","官渡区","9"
"广州市","海珠区","9"
"南宁市","青秀区","9"
"杭州市","余杭区","9"
"武汉市","江岸区","9"
"太原市","迎泽区","9"
"佛山市","南海区","9"
"合肥市","瑶海区","9"
"海口市","美兰区","9"
"商丘市","梁园区","9"
"上海市","虹口区","8"
"青岛市","李沧区","8"
"青岛市","胶州市","8"
"苏州市","昆山市","8"
"苏州市","吴中区","8"
"成都市","锦江区","8"
"北海市","海城区","8"
"佛山市","顺德区","8"
"安阳市","文峰区","8"
"杭州市","临安区","8"
"南京市","建邺区","8"
"长沙市","雨花区","8"
"武汉市","江汉区","8"
"固原市","原州区","8"
"衡阳市","常宁市","8"
"遵义市","红花岗区","8"
"遂宁市","船山区","8"
"北京市","昌平区","7"
"昆明市","西山区","7"
"无锡市","滨湖区","7"
"香港特别行政区","油尖旺区","7"
"济南市","槐荫区","7"
"洛阳市","洛龙区","7"
"西安市","未央区","7"
"泉州市","晋江市","7"
"济南市","长清区","7"
"天津市","东丽区","7"
"兰州市","永登县","7"
"上海市","宝山区","6"
"哈尔滨市","南岗区","6"
"天津市","和平区","6"
"郑州市","中原区","6"
"赣州市","章贡区","6"
"汕头市","金平区","6"
"长沙市","天心区","6"
"淄博市","张店区","6"
"常州市","天宁区","6"
"深圳市","罗湖区","6"
"台州市","路桥区","6"
"重庆市","九龙坡区","6"
"福州市","鼓楼区","6"
"漳州市","龙海市","6"
"合肥市","庐阳区","6"
"惠州市","惠城区","6"
"西安市","新城区","6"
"邯郸市","邯山区","6"
"广州市","花都区","6"
"武汉市","东西湖区","6"
"温州市","龙湾区","6"
"长春市","宽城区","6"
"郑州市","惠济区","6"
"武汉市","硚口区","6"
"宣城市","宣州区","6"
"邯郸市","丛台区","6"
"邵阳市","大祥区","6"
"南昌市","东湖区","5"
"大理白族自治州","大理市","5"
"兰州市","城关区","5"
"沈阳市","和平区","5"
"南阳市","卧龙区","5"
"长沙市","开福区","5"
"贵阳市","花溪区","5"
"徐州市","泉山区","5"
"太原市","尖草坪区","5"
"昆明市","盘龙区","5"
"泰安市","泰山区","5"
"太原市","杏花岭区","5"
"常州市","武进区","5"
"成都市","金牛区","5"
"南宁市","西乡塘区","5"
"哈尔滨市","香坊区","5"
"扬州市","邗江区","5"
"宁波市","海曙区","5"
"上海市","杨浦区","5"
"宁波市","北仑区","5"
"杭州市","滨江区","5"
"南通市","崇川区","5"
"来宾市","兴宾区","5"
"澳门特别行政区","路凼填海区","5"
"常州市","溧阳市","5"
"武汉市","汉阳区","5"
"河源市","源城区","5"
"常德市","武陵区","5"
"合肥市","肥西县","5"
"常州市","新北区","5"
"荆州市","沙市区","5"
"金华市","永康市","5"
"菏泽市","牡丹区","5"
"商丘市","宁陵县","5"
"驻马店市","确山县","5"
"信阳市","固始县","5"
"襄阳市","保康县","5"
"渭南市","蒲城县","5"
"唐山市","路北区","5"
"太原市","万柏林区","5"
"银川市","兴庆区","5"
"三亚市","吉阳区","4"
"保定市","竞秀区","4"
"石家庄市","裕华区","4"
"南宁市","江南区","4"
"香港特别行政区","中西区","4"
"天津市","南开区","4"
"郑州市","管城回族区","4"
"南昌市","新建区","4"
"上海市","嘉定区","4"
"常州市","金坛区","4"
"贵阳市","云岩区","4"
"咸阳市","秦都区","4"
"北京市","通州区","4"
"洛阳市","老城区","4"
"武汉市","蔡甸区","4"
"福州市","仓山区","4"
"十堰市","茅箭区","4"
"延安市","宝塔区","4"
"泰安市","岱岳区","4"
"驻马店市","驿城区","4"
"南昌市","青山湖区","4"
"廊坊市","三河市","4"
"晋中市","平遥县","4"
"重庆市","万州区","4"
"哈尔滨市","道里区","4"
"长沙市","望城区","4"
"威海市","环翠区","4"
"丽水市","莲都区","4"
"遵义市","汇川区","4"
"南昌市","西湖区","4"
"商洛市","镇安县","4"
"长沙市","浏阳市","4"
"湖州市","安吉县","4"
"昆明市","五华区","4"
"金华市","婺城区","4"
"贵阳市","观山湖区","4"
"柳州市","柳北区","4"
"芜湖市","镜湖区","4"
"乐山市","市中区","4"
"沈阳市","浑南区","4"
"玉溪市","峨山彝族自治县","4"
