"id","Area","count"
"1","浦东新区","183"
"2","渝中区","126"
"3","大兴区","113"
"4","朝阳区","67"
"5","白云区","65"
"6","渝北区","57"
"7","天河区","56"
"8","闵行区","50"
"9","长宁区","47"
"10","海淀区","44"
"11","洪山区","43"
"12","宝安区","42"
"13","武昌区","37"
"14","萧山区","36"
"15","玄武区","34"
"16","顺义区","32"
"17","思明区","27"
"18","沙坪坝区","27"
"19","长安区","25"
"20","鼓楼区","25"
"21","福田区","25"
"22","江宁区","25"
"23","江北区","24"
"24","金水区","23"
"25","武侯区","22"
"26","上城区","21"
"27","东城区","20"
"28","郫都区","20"
"29","西城区","19"
"30","芙蓉区","19"
"31","南山区","18"
"32","徐汇区","18"
"33","丰台区","18"
"34","黄岛区","17"
"35","市中区","17"
"36","越秀区","17"
"37","南岸区","17"
"38","拱墅区","17"
"39","莲湖区","17"
"40","蜀山区","16"
"41","崂山区","16"
"42","岳麓区","16"
"43","历城区","16"
"44","温江区","16"
"45","雁塔区","15"
"46","古城区","15"
"47","姑苏区","15"
"48","湖里区","15"
"49","新郑市","15"
"50","静安区","14"
"51","秦淮区","14"
"52","南明区","14"
"53","黄陂区","14"
"54","钱塘区","14"
"55","双流区","14"
"56","克拉玛依区","13"
"57","西湖区","13"
"58","小店区","13"
"59","龙华区","13"
"60","青羊区","13"
"61","历下区","13"
"62","番禺区","13"
"63","简阳市","13"
"64","市北区","13"
"65","集美区","12"
"66","惠阳区","12"
"67","包河区","12"
"68","普陀区","11"
"69","和平区","11"
"70","河东区","11"
"71","碑林区","11"
"72","兰山区","11"
"73","离岛区","11"
"74","渭城区","11"
"75","青浦区","10"
"76","市南区","10"
"77","龙岗区","10"
"78","二七区","10"
"79","浦口区","10"
"80","黄浦区","9"
"81","江夏区","9"
"82","甘井子区","9"
"83","栖霞区","9"
"84","官渡区","9"
"85","海珠区","9"
"86","青秀区","9"
"87","余杭区","9"
"88","江岸区","9"
"89","迎泽区","9"
"90","南海区","9"
"91","瑶海区","9"
"92","美兰区","9"
"93","梁园区","9"
"94","虹口区","8"
"95","城关区","8"
"96","李沧区","8"
"97","胶州市","8"
"98","昆山市","8"
"99","吴中区","8"
"100","锦江区","8"
"101","海城区","8"
"102","顺德区","8"
"103","文峰区","8"
"104","临安区","8"
"105","建邺区","8"
"106","雨花区","8"
"107","江汉区","8"
"108","原州区","8"
"109","新城区","8"
"110","常宁市","8"
"111","红花岗区","8"
"112","船山区","8"
"113","宝山区","7"
"114","昌平区","7"
"115","西山区","7"
"116","滨湖区","7"
"117","油尖旺区","7"
"118","槐荫区","7"
"119","洛龙区","7"
"120","未央区","7"
"121","晋江市","7"
"122","长清区","7"
"123","东丽区","7"
"124","永登县","7"
"125","南岗区","6"
"126","中原区","6"
"127","章贡区","6"
"128","金平区","6"
"129","天心区","6"
"130","张店区","6"
"131","天宁区","6"
"132","罗湖区","6"
"133","路桥区","6"
"134","九龙坡区","6"
"135","龙海市","6"
"136","庐阳区","6"
"137","惠城区","6"
"138","邯山区","6"
"139","花都区","6"
"140","东西湖区","6"
"141","龙湾区","6"
"142","宽城区","6"
"143","惠济区","6"
"144","硚口区","6"
"145","宣州区","6"
"146","丛台区","6"
"147","大祥区","6"
"148","东湖区","5"
"149","大理市","5"
"150","卧龙区","5"
"151","开福区","5"
"152","花溪区","5"
"153","泉山区","5"
"154","尖草坪区","5"
"155","盘龙区","5"
"156","泰山区","5"
"157","杏花岭区","5"
"158","武进区","5"
"159","金牛区","5"
"160","西乡塘区","5"
"161","香坊区","5"
"162","邗江区","5"
"163","海曙区","5"
"164","杨浦区","5"
"165","北仑区","5"
"166","滨江区","5"
