"id","City","count"
"1","上海市","373"
"2","北京市","345"
"3","重庆市","297"
"4","广州市","162"
"5","武汉市","144"
"6","杭州市","128"
"7","成都市","122"
"8","南京市","119"
"9","深圳市","116"
"10","西安市","83"
"11","青岛市","80"
"12","郑州市","71"
"13","长沙市","66"
"14","济南市","65"
"15","厦门市","58"
"16","合肥市","52"
"17","贵阳市","46"
"18","天津市","39"
"19","苏州市","39"
"20","太原市","37"
"21","香港特别行政区","32"
"22","常州市","28"
"23","昆明市","28"
"24","石家庄市","26"
"25","南昌市","25"
"26","惠州市","24"
"27","南宁市","23"
"28","遵义市","23"
"29","福州市","22"
"30","商丘市","22"
"31","南阳市","21"
"32","宁波市","21"
"33","大连市","20"
"34","临沂市","20"
"35","邯郸市","20"
"36","沈阳市","19"
"37","丽江市","19"
"38","长春市","19"
"39","安阳市","19"
"40","佛山市","19"
"41","哈尔滨市","18"
"42","衡阳市","18"
"43","金华市","18"
"44","咸阳市","17"
"45","泉州市","17"
"46","海口市","17"
"47","洛阳市","17"
"48","温州市","16"
"49","东莞市","15"
"50","兰州市","15"
"51","克拉玛依市","13"
"52","漳州市","13"
"53","郴州市","13"
"54","湛江市","13"
"55","邵阳市","13"
"56","保定市","12"
"57","徐州市","12"
"58","潍坊市","12"
"59","汕头市","12"
"60","柳州市","12"
"61","淄博市","12"
"62","驻马店市","12"
"63","常德市","12"
"64","芜湖市","12"
"65","襄阳市","12"
"66","银川市","11"
"67","无锡市","11"
"68","唐山市","11"
"69","肇庆市","11"
"70","澳门特别行政区","11"
"71","开封市","11"
"72","信阳市","11"
"73","赣州市","10"
"74","桂林市","10"
"75","北海市","10"
"76","泰安市","10"
"77","江门市","10"
"78","台州市","10"
"79","德州市","10"
"80","宿州市","10"
"81","宣城市","10"
"82","曲靖市","10"
"83","威海市","9"
"84","珠海市","9"
"85","呼和浩特市","9"
"86","湖州市","9"
"87","南通市","9"
"88","济宁市","9"
"89","株洲市","9"
"90","邢台市","8"
"91","阜阳市","8"
"92","廊坊市","8"
"93","聊城市","8"
"94","秦皇岛市","8"
"95","固原市","8"
"96","河源市","8"
"97","遂宁市","8"
"98","渭南市","7"
"99","三亚市","7"
"100","大理白族自治州","7"
"101","永州市","7"
"102","玉溪市","7"
"103","乌鲁木齐市","7"
"104","十堰市","7"
"105","嘉兴市","7"
"106","滨州市","7"
"107","中山市","7"
"108","淮南市","7"
"109","天水市","7"
"110","湘潭市","7"
"111","吉林市","7"
"112","绵阳市","7"
"113","商洛市","7"
"114","马鞍山市","7"
"115","宜昌市","7"
"116","菏泽市","7"
"117","鹤壁市","7"
"118","绍兴市","7"
"119","怀化市","7"
"120","湘西土家族苗族自治州","6"
"121","揭阳市","6"
"122","扬州市","6"
