"area","location","count"
"浦东新区","上海浦东国际机场","149"
"大兴区","北京大兴国际机场工作区","55"
"大兴区","北京大兴国际机场建设指挥部","43"
"长宁区","上海虹桥国际机场","38"
"渝中区","洪崖洞民俗风貌区","36"
"渝北区","重庆江北国际机场","33"
"白云区","广州白云国际机场店","32"
"顺义区","北京首都国际机场3号航站楼","29"
"渝中区","解放碑步行街","27"
"玄武区","新街口(地铁站)","22"
"白云区","广州白云国际机场","22"
"闵行区","上海虹桥站","18"
"闵行区","上海虹桥国际机场2号航站楼","18"
"萧山区","杭州萧山国际机场","16"
"宝安区","深圳宝安国际机场","15"
"萧山区","新街镇工业园区","14"
"克拉玛依区","朝阳公园","13"
"温江区","天府永汇","13"
"新郑市","郑州新郑国际机场","13"
"武昌区","武汉大学","12"
"简阳市","成都天府国际机场","11"
"双流区","成都双流国际机场","9"
"思明区","鼓浪屿","8"
"江北区","观音桥","7"
"洪山区","光谷","7"
"河东区","天津站(地铁站)","7"
"渝中区","重庆朝天门广场(暂停开放)","7"
"长安区","长安医药","7"
"朝阳区","国贸(地铁站)","7"
"离岛区","香港国际机场","7"
"原州区","新街口住宅B区","7"
"黄陂区","武汉天河国际机场","7"
"永登县","兰州中川国际机场有限公司","7"
"宝安区","深圳机场站","7"
"宝安区","深圳宝安机场(公交站)","7"
"古城区","古城供销","6"
"古城区","丽江古城","6"
"海淀区","圆明园遗址公园","6"
"金水区","郑州东站","6"
"钱塘区","杭州东站候车区","6"
"南明区","贵阳龙洞堡国际机场","6"
"江宁区","南京南站南广场","6"
"美兰区","海口美兰国际机场","6"
"江宁区","南京禄口国际机场","6"
"常宁市","G0421许广高速","6"
"朝阳区","奥林匹克森林公园","5"
"天河区","时尚天河商业广场","5"
"青羊区","天府广场","5"
"越秀区","越秀公园","5"
"上城区","杭州湖滨银泰in77C3区","5"
"丰台区","北京南站","5"
"天河区","广州东站","5"
"沙坪坝区","重庆西站","5"
"洪山区","光谷广场","5"
"湖里区","厦门高崎国际机场","5"
"芙蓉区","五一广场","5"
"西城区","西单","5"
"沙坪坝区","沙坪坝","5"
"庐阳区","万象影城(庐阳万象汇LUXE店)","5"
"花都区","广州白云国际机场","5"
"蜀山区","方兴大道与机场高速出口交叉口","5"
"崂山区","青岛胶东国际机场","5"
"东丽区","天津滨海国际机场","5"
"莲湖区","西安咸阳机场大巴(西稍门站)","5"
"渭城区","西安咸阳国际机场","5"
"官渡区","昆明长水国际机场","5"
"天河区","武汉天河国际机场","5"
"宁陵县","逻岗镇人民政府","5"
"包河区","万达广场(合肥包河店)","5"
"小店区","太原南站","4"
"渝中区","鹅岭公园","4"
"玄武区","玄武湖公园","4"
"南岸区","室内步行街(南坪万达广场店)","4"
"天河区","珠江新城(地铁站)","4"
"东城区","中关村雍和航星科技园","4"
"渝北区","重庆北站","4"
"沙坪坝区","重庆大学城","4"
"朝阳区","三里屯太古里","4"
"越秀区","北京路步行街","4"
"上城区","杭州(包含宁波)","4"
"渝中区","来福士购物中心","4"
"油尖旺区","香港(广东道)","4"
"平遥县","平遥古城","4"
"天河区","正佳广场","4"
"浦东新区","世纪汇广场(商场)","4"
"青羊区","成都杜甫草堂博物馆","4"
"普陀区","飞虹桥","4"
"静安区","上海月星环球港","4"
"丰台区","北京西站","4"
"天宁区","五角场","4"
"源城区","七寨湖公园","4"
"海城区","中山公园","4"
"大兴区","北京大兴国际机场","4"
"离岛区","机场(地面运输中心)(公交站)","4"
"建邺区","滁州(南京国际博览中心)","4"
"浦口区","南京江北新区","4"
"朝阳区","长春这有山舍客栈地下停车点(入口)","4"
"新北区","江南环球港","4"
"黄岛区","山东科技大学","3"
"天河区","太古汇","3"
"胶州市","青岛胶东国际机场","3"
"浦东新区","上海中心大厦","3"
"渝中区","观音岩","3"
"集美区","厦门东山宾馆","3"
"渝中区","两路口(地铁站)","3"
"张店区","柳泉路","3"
"双台子区","盘锦银行(盘山支行)","3"
"东城区","王府井","3"
"海珠区","广州塔","3"
"渝中区","龙湖重庆时代天街","3"
"徐汇区","上海南站","3"
"朝阳区","北京朝阳合生汇","3"
"武昌区","洪山广场","3"
"姑苏区","观前街","3"
"海淀区","海淀黄庄(地铁站)","3"
"金水区","郑州市金水区人民法院","3"
"雁塔区","大雁塔","3"
"金坛区","徐家棚桥","3"
"海淀区","北京市海淀区行政服务大厅","3"
"双流区","天府公园","3"
"兰陵县","徐家汇车辆城","3"
"溧阳市","北大街","3"
"黄浦区","上海人民广场","3"
"福田区","岗厦北(地铁站)","3"
"莲湖区","钟楼(地铁站)","3"
"芙蓉区","万家丽国际购物广场","3"
"天河区","天河公园","3"
"滨湖区","十八湾湿地公园","3"
"进贤县","西湖李家实业发展有限公司","3"
"包河区","包河大道","3"
"东西湖区","奥林匹克花园2期停车场(出入口)","3"
"大兴区","S3501大兴机场高速","3"
"甘井子区","大连周水子国际机场","3"
"梁园区","睿达传媒","3"
"峨山彝族自治县","峨山互通","3"
"龙海市","东山市场","3"
"洛龙区","龙门石窟","3"
"洪山区","东湖·御院","3"
"江夏区","光谷二路","3"
"宽城区","G12珲乌高速","3"
"高碑店市","G4京港澳高速","3"
"南岳区","南岳收费站(S51南岳高速东南向)","3"
"洪江市","G65包茂高速","3"
"津市市","G55二广高速","3"
"濠江区","G15沈海高速","3"
"郫都区","安德","3"
"鼓楼区","鼓楼(地铁站)","3"
"茅箭区","朝阳路","3"
"莲湖区","大唐西市","3"
"梁园区","八一路与归德路交叉口","3"
"朝阳区","龙湖长楹天街购物中心","3"
"昆山市","中茵广场","3"
"宝安区","日月光宾馆(塘下涌店)","3"
"浦东新区","陆家嘴","3"
"二七区","大同路与福寿街交叉口","3"
"青浦区","上海青浦吾悦广场","3"
"宣州区","万达广场","3"
"思明区","厦门大学思明校区","2"
"市中区","山东财经大学舜耕校区","2"
"渝中区","帝都广场写字楼","2"
"南岗区","凯德广场·学府","2"
"大理市","洱海公园","2"
"南岸区","盘龙立交","2"
"天河区","东圃(地铁站)","2"
"拱墅区","武林广场","2"
"铜梁区","怡园小区","2"
"南昌县","江西师范大学瑶湖校区","2"
"沙田区","香港中文大学","2"
"锦江区","春熙路","2"
"长安区","勒泰中心","2"
"崂山区","中国海洋大学崂山校区","2"
"秦淮区","南京夫子庙","2"
"芙蓉区","IFS国金中心","2"
"南岸区","万达广场(重庆南坪店)","2"
"中原区","郑州大学","2"
"南明区","贵阳阿哈湖国家湿地公园-杜鹃花谷","2"
"海淀区","清华大学","2"
"渝中区","菜园坝","2"
"龙华区","深圳北站","2"
"沙坪坝区","四川美术学院虎溪校区","2"
"思明区","中山路步行街","2"
"西城区","地安门","2"
"思明区","中山路","2"
"甘井子区","大连海事大学","2"
"凤凰县","凤凰南华门山庄","2"
"崇礼区","太舞度假小镇","2"
"通州区","花乡茶叶","2"
"岳麓区","长沙大学城·河西大学城","2"
"郫都区","电子科技大学清水河校区","2"
"雁塔区","西安软件园","2"
"海城区","涠洲岛-滴水丹屏景区","2"
"渝中区","二厂文创公园","2"
"崂山区","山东(青岛国际会展中心)","2"
"南岸区","弹子石","2"
"房山区","良乡","2"
"南山区","南头古城","2"
"洪山区","中南民族大学","2"
"长安区","南石家庄(公交站)","2"
"龙华区","观澜(地铁站)","2"
"江北区","东和城广场","2"
"渝中区","解放碑日月光民宿(和平路分店)","2"
"武昌区","司门口","2"
"二七区","二七广场","2"
"岱岳区","谷山林场","2"
"乐昌市","乐昌碧桂园","2"
"余杭区","阿里巴巴西溪A区","2"
"渝北区","照母山森林公园","2"
"渝中区","BAYU CROSSFIT(日月光购物中心店)","2"
"锦江区","成都太古里","2"
"渝中区","较场口(地铁站)","2"
"迎泽区","迎泽公园","2"
"洪山区","华中科技大学","2"
"鼓楼区","东街口","2"
"崂山区","丽达购物中心","2"
"湖里区","万达广场(厦门湖里店)","2"
"道里区","群力","2"
"滨江区","浦沿(地铁站)","2"
"上城区","中基宁波集团","2"
"江汉区","江汉路(地铁站)","2"
"渝中区","上新街索道站(索道站)","2"
"南岸区","山城饭局·市井江湖菜(南坪万达店)","2"
"渝中区","七星岗(地铁站)","2"
"徐汇区","龙华(地铁站)","2"
"西湖区","杭州西湖风景名胜区苏堤","2"
"浦东新区","上海国金中心商场","2"
"秦淮区","新街口步行街","2"
"长清区","山东师范大学长清湖校区","2"
"渭城区","中共咸阳市公安局渭城分局纪律检查委员会","2"
"玉龙纳西族自治县","巨甸派出所","2"
"丰台区","北京西站南广场","2"
"李沧区","青岛北站","2"
"景洪市","湄公河印象","2"
"北碚区","西南大学(北碚校区)","2"
"沙坪坝区","沙滨路","2"
"油尖旺区","海港城(港威商场)","2"
"番禺区","广州地铁新造车辆段","2"
"武昌区","徐家棚(地铁站)","2"
"海淀区","西二旗(地铁站)","2"
"瑶海区","新站区","2"
"萧山区","人民广场(地铁站)","2"
"镇安县","金钟村党员活动室","2"
"西城区","西直门(地铁站)","2"
"福田区","车公庙(地铁站)","2"
"鼓楼区","南京站(地铁站)","2"
"崇川区","虹桥街道办事处","2"
"深水埗区","西九龙地产","2"
"青浦区","青西郊野公园","2"
"南山区","宝能城","2"
"碑林区","桔子水晶西安钟楼酒店","2"
"福田区","岗厦(地铁站)","2"
"文登区","梦恋衣坊(金都大厦店)","2"
"番禺区","广州南站","2"
"拱墅区","国大城市广场","2"
"新城区","西安站","2"
"香坊区","黑龙江省医院香坊院区","2"
"天河区","珠江新城","2"
"喀什市","南湖公园","2"
"观山湖区","观山湖公园","2"
"黄岛区","湛园海德公园","2"
"柳北区","雀儿山公园","2"
"江北区","三板溪公园","2"
"和平区","沈阳万象城","2"
"历下区","泉城公园","2"
"长安区","清凉山森林公园","2"
"迎泽区","南海子公园","2"
"塔城市","乌苏市森林公园","2"
"石狮市","鸳鸯池公园","2"
"寿县","八公山风景区售票处","2"
"成安县","十二生肖公园","2"
"集美区","厦门大桥","2"
"肥西县","G40沪陕高速","2"
"闵行区","上海虹桥机场(公交站)","2"
"江岸区","武汉港","2"
"龙湾区","温州机场(公交站)","2"
"道里区","哈尔滨太平国际机场","2"
"九龙坡区","重庆万象城","2"
"灵武市","银川河东国际机场","2"
"蜀山区","合肥新桥国际机场","2"
"南海区","佛山沙堤机场","2"
"拱墅区","杭州西湖湖滨银泰CitiGO欢阁酒店","2"
"平度市","东升防水","2"
"朝阳区","北京首都国际机场2号航站楼","2"
"长宁区","长宁来福士","2"
"朝阳区","北京首都国际机场1号航站楼(暂停营业)","2"
"南川区","大坪路","2"
"白云区","人和镇人民政府","2"
"南海区","西樵","2"
"鼓楼区","鼓楼派出所","2"
"雨城区","上里古镇","2"
"洪山区","龚家岭收费站(S7武鄂高速西北向)","2"
"大竹县","新华广场","2"
"大渡口区","翠园路","2"
"集美区","御福酒业(禹洲中央海岸二期店)","2"
"叠彩区","北辰路与站前路交叉口","2"
"永康市","龙山镇人民政府","2"
"西山区","碧鸡关隧道","2"
"桐庐县","滨江路","2"
"昌平区","长峪城(暂停开放)","2"
"平山县","中山西路-路侧停车位","2"
"江汉区","中国福利彩票(江汉印象城B座店)","2"
"中原区","中原西路杏湾路(公交站)","2"
"新城区","向荣巷与自强东路交叉口","2"
"单县","君子路","2"
"绩溪县","饭甑尖","2"
"思明区","云顶岩寺","2"
