"city","location","count"
"上海市","上海浦东国际机场","149"
"北京市","北京大兴国际机场工作区","55"
"北京市","北京大兴国际机场建设指挥部","43"
"上海市","上海虹桥国际机场","38"
"重庆市","洪崖洞民俗风貌区","36"
"重庆市","重庆江北国际机场","33"
"广州市","广州白云国际机场店","32"
"北京市","北京首都国际机场3号航站楼","29"
"重庆市","解放碑步行街","28"
"南京市","新街口(地铁站)","22"
"上海市","上海虹桥站","18"
"上海市","上海虹桥国际机场2号航站楼","18"
"贵阳市","广州白云国际机场","16"
"杭州市","杭州萧山国际机场","16"
"深圳市","深圳宝安国际机场","15"
"杭州市","新街镇工业园区","14"
"克拉玛依市","朝阳公园","13"
"北京市","北京市人民政府(旧址)","13"
"成都市","天府永汇","13"
"郑州市","郑州新郑国际机场","13"
"武汉市","武汉大学","12"
"广州市","广州白云国际机场","11"
"成都市","成都天府国际机场","11"
"成都市","成都双流国际机场","10"
"青岛市","青岛胶东国际机场","8"
"厦门市","鼓浪屿","8"
"武汉市","武汉天河国际机场","8"
"重庆市","观音桥","7"
"武汉市","光谷","7"
"天津市","天津站(地铁站)","7"
"重庆市","重庆朝天门广场(暂停开放)","7"
"西安市","长安医药","7"
"北京市","国贸(地铁站)","7"
"香港特别行政区","香港国际机场","7"
"固原市","新街口住宅B区","7"
"兰州市","兰州中川国际机场有限公司","7"
"深圳市","深圳机场站","7"
"深圳市","深圳宝安机场(公交站)","7"
"丽江市","古城供销","6"
"丽江市","丽江古城","6"
"北京市","圆明园遗址公园","6"
"郑州市","郑州东站","6"
"杭州市","杭州东站候车区","6"
"贵阳市","贵阳龙洞堡国际机场","6"
"南京市","南京南站南广场","6"
"上海市","上海月星环球港","6"
"海口市","海口美兰国际机场","6"
"南京市","南京禄口国际机场","6"
"衡阳市","G0421许广高速","6"
"北京市","奥林匹克森林公园","5"
"广州市","时尚天河商业广场","5"
"成都市","天府广场","5"
"广州市","越秀公园","5"
"杭州市","杭州湖滨银泰in77C3区","5"
"北京市","北京南站","5"
"广州市","广州东站","5"
"重庆市","重庆西站","5"
"武汉市","光谷广场","5"
"厦门市","厦门高崎国际机场","5"
"长沙市","五一广场","5"
"北京市","西单","5"
"重庆市","沙坪坝","5"
"合肥市","万象影城(庐阳万象汇LUXE店)","5"
"合肥市","方兴大道与机场高速出口交叉口","5"
"天津市","天津滨海国际机场","5"
"西安市","西安咸阳机场大巴(西稍门站)","5"
"咸阳市","西安咸阳国际机场","5"
"昆明市","昆明长水国际机场","5"
"广州市","武汉天河国际机场","5"
"商丘市","逻岗镇人民政府","5"
"合肥市","万达广场(合肥包河店)","5"
"太原市","太原南站","4"
"重庆市","鹅岭公园","4"
"南京市","玄武湖公园","4"
"重庆市","室内步行街(南坪万达广场店)","4"
"广州市","珠江新城(地铁站)","4"
"北京市","中关村雍和航星科技园","4"
"重庆市","重庆北站","4"
"重庆市","重庆大学城","4"
"北京市","三里屯太古里","4"
"广州市","北京路步行街","4"
"杭州市","杭州(包含宁波)","4"
"重庆市","来福士购物中心","4"
"香港特别行政区","香港(广东道)","4"
"青岛市","青岛市人民政府","4"
"晋中市","平遥古城","4"
"广州市","正佳广场","4"
"北京市","北京首都国际机场","4"
"上海市","世纪汇广场(商场)","4"
"成都市","成都杜甫草堂博物馆","4"
"上海市","飞虹桥","4"
"中山市","中山公园","4"
"北京市","北京西站","4"
"常州市","五角场","4"
"河源市","七寨湖公园","4"
"北海市","中山公园","4"
"北京市","北京大兴国际机场","4"
"香港特别行政区","机场(地面运输中心)(公交站)","4"
"南京市","滁州(南京国际博览中心)","4"
"南京市","南京江北新区","4"
"十堰市","朝阳路","4"
"长春市","长春这有山舍客栈地下停车点(入口)","4"
"常州市","江南环球港","4"
"青岛市","山东科技大学","3"
"广州市","太古汇","3"
"上海市","上海中心大厦","3"
"重庆市","观音岩","3"
"厦门市","厦门东山宾馆","3"
"重庆市","两路口(地铁站)","3"
"淄博市","柳泉路","3"
"盘锦市","盘锦银行(盘山支行)","3"
"北京市","王府井","3"
"广州市","广州塔","3"
"重庆市","龙湖重庆时代天街","3"
"上海市","上海南站","3"
"北京市","北京朝阳合生汇","3"
"武汉市","洪山广场","3"
"苏州市","观前街","3"
"北京市","海淀黄庄(地铁站)","3"
"郑州市","郑州市金水区人民法院","3"
"西安市","大雁塔","3"
"常州市","徐家棚桥","3"
"北京市","北京市海淀区行政服务大厅","3"
"成都市","天府公园","3"
"临沂市","徐家汇车辆城","3"
"常州市","北大街","3"
"上海市","上海人民广场","3"
"深圳市","岗厦北(地铁站)","3"
"西安市","钟楼(地铁站)","3"
"长沙市","万家丽国际购物广场","3"
"广州市","天河公园","3"
"无锡市","十八湾湿地公园","3"
"南昌市","西湖李家实业发展有限公司","3"
"合肥市","包河大道","3"
"武汉市","奥林匹克花园2期停车场(出入口)","3"
"北京市","S3501大兴机场高速","3"
"大连市","大连周水子国际机场","3"
"商丘市","睿达传媒","3"
"玉溪市","峨山互通","3"
"漳州市","东山市场","3"
"洛阳市","龙门石窟","3"
"武汉市","东湖·御院","3"
"武汉市","光谷二路","3"
"长春市","G12珲乌高速","3"
"保定市","G4京港澳高速","3"
"衡阳市","南岳收费站(S51南岳高速东南向)","3"
"怀化市","G65包茂高速","3"
"常德市","G55二广高速","3"
"汕头市","G15沈海高速","3"
"成都市","安德","3"
"南京市","鼓楼(地铁站)","3"
"西安市","大唐西市","3"
"商丘市","八一路与归德路交叉口","3"
"北京市","龙湖长楹天街购物中心","3"
"苏州市","中茵广场","3"
"深圳市","日月光宾馆(塘下涌店)","3"
"上海市","陆家嘴","3"
"郑州市","大同路与福寿街交叉口","3"
"上海市","上海青浦吾悦广场","3"
"宣城市","万达广场","3"
"厦门市","厦门大学思明校区","2"
"济南市","山东财经大学舜耕校区","2"
"重庆市","帝都广场写字楼","2"
"哈尔滨市","凯德广场·学府","2"
"大理白族自治州","洱海公园","2"
"重庆市","盘龙立交","2"
"广州市","东圃(地铁站)","2"
"杭州市","武林广场","2"
"重庆市","怡园小区","2"
"南昌市","江西师范大学瑶湖校区","2"
"香港特别行政区","香港中文大学","2"
"成都市","春熙路","2"
"石家庄市","勒泰中心","2"
"青岛市","中国海洋大学崂山校区","2"
"南京市","南京夫子庙","2"
"长沙市","IFS国金中心","2"
"重庆市","万达广场(重庆南坪店)","2"
"郑州市","郑州大学","2"
"贵阳市","贵阳阿哈湖国家湿地公园-杜鹃花谷","2"
"北京市","清华大学","2"
"重庆市","菜园坝","2"
"深圳市","深圳北站","2"
"重庆市","四川美术学院虎溪校区","2"
"厦门市","中山路步行街","2"
"北京市","地安门","2"
"厦门市","中山路","2"
"大连市","大连海事大学","2"
"湘西土家族苗族自治州","凤凰南华门山庄","2"
"张家口市","太舞度假小镇","2"
"北京市","花乡茶叶","2"
"长沙市","长沙大学城·河西大学城","2"
"成都市","电子科技大学清水河校区","2"
"西安市","西安软件园","2"
"北海市","涠洲岛-滴水丹屏景区","2"
"重庆市","二厂文创公园","2"
"青岛市","山东(青岛国际会展中心)","2"
"重庆市","弹子石","2"
"北京市","良乡","2"
"深圳市","南头古城","2"
"武汉市","中南民族大学","2"
"石家庄市","南石家庄(公交站)","2"
"深圳市","观澜(地铁站)","2"
"重庆市","东和城广场","2"
"重庆市","解放碑日月光民宿(和平路分店)","2"
"武汉市","司门口","2"
"郑州市","二七广场","2"
"泰安市","谷山林场","2"
"韶关市","乐昌碧桂园","2"
"杭州市","阿里巴巴西溪A区","2"
"重庆市","照母山森林公园","2"
"重庆市","BAYU CROSSFIT(日月光购物中心店)","2"
"成都市","成都太古里","2"
"重庆市","较场口(地铁站)","2"
"太原市","迎泽公园","2"
"武汉市","华中科技大学","2"
"福州市","东街口","2"
"青岛市","丽达购物中心","2"
"厦门市","万达广场(厦门湖里店)","2"
"哈尔滨市","群力","2"
"杭州市","浦沿(地铁站)","2"
"杭州市","中基宁波集团","2"
"武汉市","江汉路(地铁站)","2"
"重庆市","上新街索道站(索道站)","2"
"重庆市","山城饭局·市井江湖菜(南坪万达店)","2"
"重庆市","七星岗(地铁站)","2"
"上海市","龙华(地铁站)","2"
"杭州市","杭州西湖风景名胜区苏堤","2"
"上海市","上海国金中心商场","2"
"南京市","新街口步行街","2"
"济南市","山东师范大学长清湖校区","2"
"咸阳市","中共咸阳市公安局渭城分局纪律检查委员会","2"
"丽江市","巨甸派出所","2"
"北京市","北京西站南广场","2"
"青岛市","青岛北站","2"
"西双版纳傣族自治州","湄公河印象","2"
"重庆市","西南大学(北碚校区)","2"
"重庆市","沙滨路","2"
"香港特别行政区","海港城(港威商场)","2"
"广州市","广州地铁新造车辆段","2"
"武汉市","徐家棚(地铁站)","2"
"北京市","西二旗(地铁站)","2"
"合肥市","新站区","2"
"杭州市","人民广场(地铁站)","2"
"商洛市","金钟村党员活动室","2"
"北京市","西直门(地铁站)","2"
"深圳市","车公庙(地铁站)","2"
"南京市","南京站(地铁站)","2"
"南通市","虹桥街道办事处","2"
"香港特别行政区","西九龙地产","2"
"上海市","青西郊野公园","2"
"深圳市","宝能城","2"
"西安市","桔子水晶西安钟楼酒店","2"
"深圳市","岗厦(地铁站)","2"
"威海市","梦恋衣坊(金都大厦店)","2"
"广州市","广州南站","2"
"杭州市","国大城市广场","2"
"西安市","西安站","2"
"哈尔滨市","黑龙江省医院香坊院区","2"
"广州市","珠江新城","2"
"喀什地区","南湖公园","2"
"贵阳市","观山湖公园","2"
"青岛市","湛园海德公园","2"
"柳州市","雀儿山公园","2"
"重庆市","三板溪公园","2"
"沈阳市","沈阳万象城","2"
"济南市","泉城公园","2"
"西安市","清凉山森林公园","2"
"太原市","南海子公园","2"
"塔城地区","乌苏市森林公园","2"
"泉州市","鸳鸯池公园","2"
"淮南市","八公山风景区售票处","2"
"邯郸市","十二生肖公园","2"
"厦门市","厦门大桥","2"
"合肥市","G40沪陕高速","2"
"上海市","上海虹桥机场(公交站)","2"
"武汉市","武汉港","2"
"温州市","温州机场(公交站)","2"
"哈尔滨市","哈尔滨太平国际机场","2"
"重庆市","重庆万象城","2"
"银川市","银川河东国际机场","2"
"合肥市","合肥新桥国际机场","2"
"佛山市","佛山沙堤机场","2"
"杭州市","杭州西湖湖滨银泰CitiGO欢阁酒店","2"
"青岛市","东升防水","2"
"北京市","北京首都国际机场2号航站楼","2"
"上海市","长宁来福士","2"
"北京市","北京首都国际机场1号航站楼(暂停营业)","2"
"重庆市","大坪路","2"
"广州市","人和镇人民政府","2"
"佛山市","西樵","2"
"南京市","鼓楼派出所","2"
"雅安市","上里古镇","2"
"武汉市","龚家岭收费站(S7武鄂高速西北向)","2"
"达州市","新华广场","2"
"重庆市","翠园路","2"
"厦门市","御福酒业(禹洲中央海岸二期店)","2"
"桂林市","北辰路与站前路交叉口","2"
"金华市","龙山镇人民政府","2"
"昆明市","碧鸡关隧道","2"
"杭州市","滨江路","2"
"济南市","山大南路","2"
"北京市","长峪城(暂停开放)","2"
"石家庄市","中山西路-路侧停车位","2"
"武汉市","中国福利彩票(江汉印象城B座店)","2"
"郑州市","中原西路杏湾路(公交站)","2"
"西安市","向荣巷与自强东路交叉口","2"
"菏泽市","君子路","2"
"宣城市","饭甑尖","2"
"厦门市","云顶岩寺","2"
"宿州市","顺河村村民委员会","2"
"商洛市","G65包茂高速","2"
"绍兴市","S24绍诸高速","2"
"深圳市","阳台山","2"
"武汉市","龙阳大道","2"
"武汉市","光谷创业街","2"
"菏泽市","山东高速","2"
"衡阳市","G72泉南高速","2"
"松原市","G45大广高速入口(长春方向)","2"
"上海市","闵浦大桥","2"
"金华市","G25长深高速","2"
"聊城市","S1济聊高速","2"
"泉州市","台商区","2"
"吉林市","G1211吉黑高速","2"
"株洲市","神农小区","2"
"肇庆市","四会市森普新材料科技有限公司","2"
"黄冈市","G4221沪武高速","2"
