"province","location","count"
"广东省","广州白云国际机场店","32"
"江苏省","新街口(地铁站)","22"
"贵州省","广州白云国际机场","16"
"浙江省","杭州萧山国际机场","16"
"广东省","深圳宝安国际机场","15"
"浙江省","新街镇工业园区","14"
"新疆维吾尔自治区","朝阳公园","13"
"四川省","天府永汇","13"
"河南省","郑州新郑国际机场","13"
"湖北省","武汉大学","12"
"广东省","广州白云国际机场","11"
"四川省","成都天府国际机场","11"
"四川省","成都双流国际机场","10"
"山东省","青岛胶东国际机场","8"
"福建省","鼓浪屿","8"
"湖北省","武汉天河国际机场","8"
"湖南省","G0421许广高速","8"
"湖北省","光谷","7"
"陕西省","长安医药","7"
"宁夏回族自治区","新街口住宅B区","7"
"甘肃省","兰州中川国际机场有限公司","7"
"广东省","深圳机场站","7"
"广东省","深圳宝安机场(公交站)","7"
"云南省","古城供销","6"
"云南省","丽江古城","6"
"河南省","郑州东站","6"
"浙江省","杭州东站候车区","6"
"贵州省","贵阳龙洞堡国际机场","6"
"江苏省","南京南站南广场","6"
"海南省","海口美兰国际机场","6"
"江苏省","南京禄口国际机场","6"
"陕西省","西安咸阳国际机场","6"
"广东省","时尚天河商业广场","5"
"四川省","天府广场","5"
"广东省","越秀公园","5"
"浙江省","杭州湖滨银泰in77C3区","5"
"广东省","广州东站","5"
"台湾省","宜兰县","5"
"湖北省","光谷广场","5"
"福建省","厦门高崎国际机场","5"
"湖南省","五一广场","5"
"安徽省","万象影城(庐阳万象汇LUXE店)","5"
"广东省","中山公园","5"
"安徽省","方兴大道与机场高速出口交叉口","5"
"陕西省","西安咸阳机场大巴(西稍门站)","5"
"云南省","昆明长水国际机场","5"
"广东省","武汉天河国际机场","5"
"河南省","逻岗镇人民政府","5"
"安徽省","万达广场(合肥包河店)","5"
"安徽省","万达广场","5"
"山西省","太原南站","4"
"江苏省","玄武湖公园","4"
"广东省","珠江新城(地铁站)","4"
"广东省","北京路步行街","4"
"浙江省","杭州(包含宁波)","4"
"山东省","青岛市人民政府","4"
"山西省","平遥古城","4"
"广东省","正佳广场","4"
"四川省","成都杜甫草堂博物馆","4"
"江苏省","五角场","4"
"广东省","七寨湖公园","4"
"广西壮族自治区","中山公园","4"
"江苏省","滁州(南京国际博览中心)","4"
"广东省","G15沈海高速","4"
"江苏省","南京江北新区","4"
"湖北省","朝阳路","4"
"吉林省","长春这有山舍客栈地下停车点(入口)","4"
"江苏省","江南环球港","4"
"山东省","山东科技大学","3"
"广东省","太古汇","3"
"福建省","厦门东山宾馆","3"
"山东省","柳泉路","3"
"辽宁省","盘锦银行(盘山支行)","3"
"广东省","广州塔","3"
"湖北省","洪山广场","3"
"江苏省","观前街","3"
"河南省","郑州市金水区人民法院","3"
"陕西省","大雁塔","3"
"江苏省","徐家棚桥","3"
"四川省","天府公园","3"
"山东省","徐家汇车辆城","3"
"江苏省","北大街","3"
"广东省","岗厦北(地铁站)","3"
"陕西省","钟楼(地铁站)","3"
"湖南省","万家丽国际购物广场","3"
"广东省","天河公园","3"
"江苏省","十八湾湿地公园","3"
"江西省","西湖李家实业发展有限公司","3"
"安徽省","包河大道","3"
"湖北省","奥林匹克花园2期停车场(出入口)","3"
"安徽省","G40沪陕高速","3"
"辽宁省","大连周水子国际机场","3"
"河南省","睿达传媒","3"
"云南省","峨山互通","3"
"福建省","东山市场","3"
"河南省","龙门石窟","3"
"湖北省","东湖·御院","3"
"湖北省","光谷二路","3"
"吉林省","G12珲乌高速","3"
"河北省","G4京港澳高速","3"
"湖南省","南岳收费站(S51南岳高速东南向)","3"
"湖南省","G65包茂高速","3"
"湖南省","G55二广高速","3"
"四川省","安德","3"
"江苏省","鼓楼(地铁站)","3"
"陕西省","大唐西市","3"
"河南省","八一路与归德路交叉口","3"
"江苏省","中茵广场","3"
"广东省","日月光宾馆(塘下涌店)","3"
"河南省","大同路与福寿街交叉口","3"
"福建省","厦门大学思明校区","2"
"山东省","山东财经大学舜耕校区","2"
"黑龙江省","凯德广场·学府","2"
"云南省","洱海公园","2"
"广东省","东圃(地铁站)","2"
"浙江省","武林广场","2"
"江西省","江西师范大学瑶湖校区","2"
"四川省","春熙路","2"
"河北省","勒泰中心","2"
"山东省","中国海洋大学崂山校区","2"
"江苏省","南京夫子庙","2"
"湖南省","IFS国金中心","2"
"河南省","郑州大学","2"
"贵州省","贵阳阿哈湖国家湿地公园-杜鹃花谷","2"
"广东省","深圳北站","2"
"福建省","中山路步行街","2"
"福建省","中山路","2"
"辽宁省","大连海事大学","2"
"湖南省","凤凰南华门山庄","2"
"河北省","太舞度假小镇","2"
"湖南省","长沙大学城·河西大学城","2"
"四川省","电子科技大学清水河校区","2"
"陕西省","西安软件园","2"
"广西壮族自治区","涠洲岛-滴水丹屏景区","2"
"山东省","山东(青岛国际会展中心)","2"
"广东省","南头古城","2"
"湖北省","中南民族大学","2"
"河北省","南石家庄(公交站)","2"
"广东省","观澜(地铁站)","2"
"湖北省","司门口","2"
"河南省","二七广场","2"
"山东省","谷山林场","2"
"广东省","乐昌碧桂园","2"
"浙江省","阿里巴巴西溪A区","2"
"四川省","成都太古里","2"
"山西省","迎泽公园","2"
"湖北省","华中科技大学","2"
"福建省","东街口","2"
"山东省","丽达购物中心","2"
"福建省","万达广场(厦门湖里店)","2"
"黑龙江省","群力","2"
"浙江省","浦沿(地铁站)","2"
"浙江省","中基宁波集团","2"
"湖北省","江汉路(地铁站)","2"
"浙江省","杭州西湖风景名胜区苏堤","2"
"江苏省","新街口步行街","2"
"山东省","青岛路","2"
"山东省","山东师范大学长清湖校区","2"
"陕西省","中共咸阳市公安局渭城分局纪律检查委员会","2"
"云南省","巨甸派出所","2"
"山东省","青岛北站","2"
"云南省","湄公河印象","2"
"广东省","广州地铁新造车辆段","2"
"湖北省","徐家棚(地铁站)","2"
"安徽省","新站区","2"
"浙江省","人民广场(地铁站)","2"
"陕西省","金钟村党员活动室","2"
"广东省","车公庙(地铁站)","2"
"江苏省","南京站(地铁站)","2"
"江苏省","虹桥街道办事处","2"
"广东省","宝能城","2"
"陕西省","桔子水晶西安钟楼酒店","2"
"广东省","岗厦(地铁站)","2"
"山东省","梦恋衣坊(金都大厦店)","2"
"广东省","广州南站","2"
"浙江省","国大城市广场","2"
"陕西省","西安站","2"
"黑龙江省","黑龙江省医院香坊院区","2"
"广东省","珠江新城","2"
"新疆维吾尔自治区","南湖公园","2"
"贵州省","观山湖公园","2"
"山东省","湛园海德公园","2"
"广西壮族自治区","雀儿山公园","2"
"辽宁省","沈阳万象城","2"
"山东省","泉城公园","2"
"陕西省","清凉山森林公园","2"
"山西省","南海子公园","2"
"新疆维吾尔自治区","乌苏市森林公园","2"
"福建省","鸳鸯池公园","2"
"安徽省","八公山风景区售票处","2"
"河北省","十二生肖公园","2"
"福建省","厦门大桥","2"
"湖北省","武汉港","2"
"浙江省","温州机场(公交站)","2"
"黑龙江省","哈尔滨太平国际机场","2"
"宁夏回族自治区","银川河东国际机场","2"
"安徽省","合肥新桥国际机场","2"
"广东省","佛山沙堤机场","2"
"浙江省","杭州西湖湖滨银泰CitiGO欢阁酒店","2"
"山东省","东升防水","2"
"广东省","人和镇人民政府","2"
"广东省","西樵","2"
"江苏省","鼓楼派出所","2"
