"person","location","count"
"老人","长安医药","6"
"司机","洪崖洞民俗风貌区","4"
"老人","沙坪坝","4"
"司机","上海浦东国际机场","4"
"行人","G0421许广高速","4"
"老人","万达广场","4"
"老人","包河大道","3"
"老人","G40沪陕高速","3"
"男子","方兴大道与机场高速出口交叉口","3"
"老人","峨山互通","3"
"老人","龙门石窟","3"
"男子","光谷二路","3"
"老人","G72泉南高速","3"
"老人","G55二广高速","3"
"老人","G56杭瑞高速","3"
"老人","G50沪渝高速","3"
"老人","G0421许广高速","3"
"行人","滁州(南京国际博览中心)","3"
"老人","G65包茂高速","3"
"老人","安德","3"
"老人","南京江北新区","3"
"老人","长江路","3"
"老人","大唐西市","3"
"老人","八一路与归德路交叉口","3"
"老人","解放路","3"
"孩子","朝阳路","3"
"司机","解放碑步行街","2"
"游客","解放碑步行街","2"
"老人","盘锦银行(盘山支行)","2"
"老人","新站区","2"
"老人","雀儿山公园","2"
"老人","三板溪公园","2"
"老人","鸳鸯池公园","2"
"游客","八公山风景区售票处","2"
"老人","十二生肖公园","2"
"孩子","北京大兴国际机场工作区","2"
"司机","北京大兴国际机场工作区","2"
"老人","机场路","2"
"行人","上里古镇","2"
"老人","龚家岭收费站(S7武鄂高速西北向)","2"
"老人","新华广场","2"
"老人","翠园路","2"
"老人","北辰路与站前路交叉口","2"
"老人","龙山镇人民政府","2"
"孩子","滨江路","2"
"老人","山大南路","2"
"老人","中国福利彩票(江汉印象城B座店)","2"
"老人","东山市场","2"
"孩子","中原西路杏湾路(公交站)","2"
"老人","向荣巷与自强东路交叉口","2"
"老人","顺河村村民委员会","2"
"老人","S24绍诸高速","2"
"老人","阳台山","2"
"老人","G15沈海高速","2"
"老人","G45大广高速入口(长春方向)","2"
"老人","G25长深高速","2"
"老人","S1济聊高速","2"
"老人","G30连霍高速","2"
"老人","G4京港澳高速","2"
"孩子","G1211吉黑高速","2"
"行人","G4京港澳高速","2"
"老人","四会市森普新材料科技有限公司","2"
"司机","和县收费站(S22天天高速出口)","2"
"老人","苗王城西收费站(S15松从高速入口)","2"
"行人","逻岗镇人民政府","2"
"行人","G5京昆高速","2"
"儿童","郑州财经学院","2"
"老人","G3京台高速","2"
"游客","南滩派出所","2"
"老人","华鲁街与建设路交叉口","2"
"老人","S12申嘉湖高速","2"
"男子","S71华常高速","2"
"孩子","逻岗镇人民政府","2"
"老人","万达广场(合肥包河店)","2"
"孩子","G4京港澳高速","2"
"老人","郴州市儿童医院","2"
"老人","黄陂区六指街道西湖村委会","2"
"行人","桂东县人民医院","2"
"老人","北京西站","2"
"老人","滨河路","2"
"老人","燕郊镇人民政府","2"
"老人","儿童公园","2"
"老人","新民场","2"
"老人","廉州镇廉西小学","2"
"儿童","彭水妇幼保健院","2"
"男子","黄柏峪","2"
"孩子","解放西路","2"
"老人","星力城A馆","2"
"老人","遵义医学院(公交站)","2"
"老人","金华村委会","2"
"孩子","郑州市金水区人民法院","2"
"老人","湖岸新城","2"
"老人","武汉站","2"
"老人","大同路与福寿街交叉口","2"
"老人","杭州(包含宁波)","2"
"老人","丛台路","2"
"老人","梁山村村民委员会","2"
"老人","观堂乡人民政府","2"
"老人","银河路","2"
"老人","天宫北路","2"
"老人","胜利东街","2"
"老人","大同路","2"
"老人","王家台后村级组织服务站","2"
"儿童","太湖路与济南路交叉口","2"
"老人","杞福巷","2"
"老人","武昌站","2"
"老人","东关大街","2"
"老人","新兴路","2"
"老人","学院路","2"
"女子","东湖·御院","2"
"老人","铁橛山路","2"
"老人","洛门镇人民政府","2"
"老人","曙光小区","2"
"老人","获鹿镇人民政府","2"
"女子","紫金山","2"
"老人","磨石庵村公益电影放映点","2"
"老人","安阳市实验中学","2"
"孩子","东华大学延安路校区","1"
"游客","上海中心大厦","1"
"司机","海淀区第二实验小学(清宁校区)","1"
"司机","涠洲岛","1"
"行人","解放碑步行街","1"
"孩子","北京朝阳站(地铁站)","1"
"孩子","桂元村村委会","1"
"司机","渝宗火锅(得意潮馆店)","1"
"行人","凤凰南华门山庄","1"
"孩子","星河驾校","1"
"行人","万象城二期","1"
"司机","亚东商业广场","1"
"老人","花乡茶叶","1"
"女子","来福士购物中心","1"
"司机","黄埔大道(地铁站)","1"
"司机","山东(青岛国际会展中心)","1"
"司机","弹子石","1"
"孩子","海宴镇望头村新时代文明实践站","1"
"儿童","余姚路与胶州路交叉口","1"
"孩子","桃园二巷","1"
"行人","杭州湖滨银泰in77C3区","1"
"孩子","芙蓉南路","1"
"司机","盘龙立交","1"
"男子","延安新区","1"
"游客","王府井","1"
"行人","金陵饭店","1"
"司机","二七广场","1"
"司机","青秀山风景区","1"
"孩子","湖南第一师范学院(东方红校区)","1"
"孩子","郑州市森林公园","1"
"游客","青岛中山公园","1"
"游客","大理古城","1"
"司机","圣象天门服务中心","1"
"司机","北京市人民政府(旧址)","1"
"司机","武汉科学技术馆","1"
"孩子","王府井购物中心","1"
"司机","良玛装饰","1"
"孩子","临汾职业技术学院","1"
"孩子","角门西里七号院","1"
"游客","平遥古城","1"
"司机","两路口皇冠大扶梯","1"
"司机","思古桥村农产品电商中心","1"
"司机","杨柳青","1"
"司机","万达广场(厦门湖里店)","1"
"司机","建林宾馆","1"
"老人","岳都海景公寓","1"
"司机","玉舍收费站(G56杭瑞高速出口)","1"
"司机","东方明珠广播电视塔(公交站)","1"
"司机","太阳宫村","1"
"司机","天津站(地铁站)","1"
"女子","豹澥街道社区居委会","1"
"游客","观音桥","1"
"女子","黄果树大厦","1"
"女子","新乡市宏达卫材有限公司","1"
"行人","洪崖洞夜市街区","1"
"司机","七星岗(地铁站)","1"
"孩子","武夷学院","1"
"司机","东原中心写字楼","1"
"孩子","创维大厦","1"
"行人","漓江景区竹筏游览售票处","1"
"司机","洗耳河","1"
"孩子","董公寺社区卫生服务中心","1"
"游客","圆明园遗址公园","1"
"行人","广园立交桥","1"
"司机","沙滨路","1"
"司机","大王村民委员会","1"
"行人","郑州大学第一附属医院(河医院区)","1"
"男子","七一北路","1"
"行人","宜兰县","1"
"司机","福州市江镜华侨经济开发区","1"
"司机","中央复兴里","1"
"孩子","丽江古城博物院-木府","1"
"老人","阜埠河(地铁站)","1"
"老人","秣周东路(地铁站)","1"
"老人","上海市杨浦区四平街道敬老院","1"
"司机","青西郊野公园","1"
"司机","光谷广场","1"
"老人","南湖公园","1"
"老人","钱塘市民中心","1"
"孩子","招商花园城-POP MART(高新招商花园城北区店)","1"
"老人","国贸(地铁站)","1"
"老人","王家湾(地铁站)","1"
"老人","良渚","1"
"儿童","钟楼(地铁站)","1"
"老人","贡茶(龙翔学校店)","1"
"老人","合肥站","1"
"行人","新街口步行街","1"
"老人","武陟医院","1"
"老人","紫阳湖公园站自行车租赁点","1"
"老人","雁鸣湖镇政府","1"
"老人","黄山鲁森林公园","1"
"老人","雨山湖公园","1"
"孩子","首都师范大学","1"
"游客","北山公园","1"
"孩子","赤山湖国家湿地公园","1"
"老人","三角公园","1"
"孩子","南海子公园","1"
"老人","现代森林花园","1"
"司机","常州新城·桃李郡","1"
"游客","慕士塔格冰川公园","1"
"老人","文化公园(公交站)","1"
"男子","富阳区城市森林公园","1"
"游客","五指山","1"
"游客","大雁山","1"
"老人","神仙湾","1"
"孩子","南京老山国家森林公园","1"
"老人","双女石公园","1"
"老人","神山公园","1"
"老人","青岛胶州湾隧道","1"
"游客","清凉山森林公园","1"
"游客","惠山国家森林公园","1"
"行人","丰荷山","1"
"男子","机场城市大道","1"
"老人","重庆江北国际机场T2A航站楼","1"
"老人","空港市场","1"
"司机","香港国际机场","1"
"老人","瓦岗镇人民政府","1"
"老人","北京首都国际机场3号航站楼","1"
"司机","上海虹桥国际机场","1"
"老人","惠州平潭机场","1"
"老人","图云关隧道","1"
"老人","上海虹桥国际机场","1"
"司机","沈阳桃仙国际机场","1"
"司机","安慧桥","1"
"老人","潮汕机场城市候机楼","1"
"老人","台北四村","1"
"孩子","广州白云国际机场店","1"
"老人","遂城街道办事处","1"
"行人","战华路与G4216蓉丽高速入口交叉口","1"
"行人","黄陂立交桥","1"
"司机","厦门市安兜小学","1"
"行人","G8511昆磨高速","1"
"游客","丽江古城","1"
"行人","南京禄口国际机场","1"
"老人","北京大兴国际机场建设指挥部","1"
"司机","重庆江北国际机场","1"
"司机","东方明珠广播电视塔","1"
"孩子","香榭丽都","1"
"老人","襄阳刘集机场","1"
"老人","S92机场高速","1"
"游客","古城供销","1"
"老人","收货区","1"
"老人","经十路与长江东路交叉口","1"
"孩子","河南中原高速公路股份有限公司(航空港分公司)","1"
"老人","延安南泥湾机场","1"
"男子","东升防水","1"
"老人","机场路与鄞县大道交叉口","1"
"老人","浃底隧道","1"
"司机","邯郸机场","1"
"老人","重庆江北国际机场","1"
"司机","深圳宝安国际机场T3航站楼","1"
"老人","北京首都国际机场","1"
"老人","章丘龙山","1"
"老人","洛阳理工学院开元校区","1"
"老人","S33济徐高速","1"
"老人","贵阳龙洞堡国际机场","1"
"女子","重庆江北国际机场","1"
"老人","西安咸阳国际机场","1"
"司机","合肥新桥国际机场","1"
"孩子","容海苑","1"
"老人","成都双流国际机场","1"
"孩子","机场大道与甬江路交叉口","1"
"老人","徐家楼社区","1"
"老人","建设大街","1"
"孩子","西樵","1"
"老人","大坪路","1"
"老人","泰山路","1"
"老人","郑州现代农业示范区管理委员会","1"
"老人","窑岭湘雅二医院(地铁站)","1"
"老人","笋岗(地铁站)","1"
"老人","悦荟广场","1"
"老人","七寨湖公园","1"
"老人","安徽省昭潭中学","1"
"老人","李村村委会","1"
"老人","厦门市同安区褒建筑农资店","1"
"老人","江变超市","1"
"老人","北外环路","1"
"行人","龙居寺村村民委员会","1"
"男子","方山村民委员会","1"
"男子","张槎","1"
"女子","鼓楼派出所","1"
"儿童","厦门市同安工业集中区","1"
"老人","俱乐部","1"
"老人","临港路","1"
"老人","林家村镇人民政府","1"
"行人","碧鸡关隧道","1"
"老人","都市广场(都司街)","1"
"老人","云林东路","1"
"游客","长峪城(暂停开放)","1"
"老人","九都西路珠江路口西(公交站)","1"
"老人","长安中路与阜民街交叉口","1"
"老人","达州客运南站","1"
"老人","护国市场监管所","1"
"老人","团结南路","1"
"老人","石龙镇人民政府","1"
"老人","高新四路光谷二路(公交站)","1"
"男子","司马山","1"
"男子","新疆罗布人村寨景区","1"
"孩子","君子路","1"
"游客","延吉北收费站(G12珲乌高速入口)","1"
"老人","长江二桥","1"
"老人","人民中路","1"
"男子","磨心山","1"
"老人","济宁高新区创业园","1"
"老人","东湖·御院","1"
"孩子","中海公园","1"
"孩子","万秀菜市","1"
"老人","云丰村站(公交站)","1"
"孩子","万象影城(庐阳万象汇LUXE店)","1"
"老人","五龙口街","1"
"老人","苏州中惠铂尔曼酒店","1"
"老人","长安广场","1"
"孩子","阳光小学","1"
"老人","河南省鹤壁市山城区前进路南头旺杰钢材销售部","1"
"老人","正阳南路","1"
"老人","牟山大道","1"
"老人","朝阳街","1"
"老人","馨苑10区","1"
"老人","黎阳路","1"
"老人","小淖尔出口(G6京藏高速东向)","1"
"老人","G1京哈高速入口(锦州方向)","1"
"老人","世纪广场轻轨站(公交站)","1"
"老人","爱民街","1"
"老人","南小爱民街","1"
"老人","北四环","1"
"老人","象山北路","1"
"老人","丰庆路与博颂路交叉口","1"
"老人","山河路","1"
"男子","姜谭路","1"
"老人","荆中路","1"
"老人","三里河街道办事处","1"
"老人","武汉欢乐谷","1"
"老人","东环服务区","1"
"老人","野芷湖大桥","1"
"孩子","榆树弓棚镇收费站(G1015铁科高速出口)","1"
"司机","坛子口(地铁站)","1"
"司机","S28台金高速","1"
"儿童","G2501南京绕城高速与G40沪陕高速交叉口","1"
"司机","兴隆街(公交站)","1"
"男子","G18荣乌高速","1"
"行人","南四环西路","1"
"司机","汉西一村","1"
"司机","机场高速","1"
"孩子","龙洞风景区","1"
"老人","农科路","1"
"老人","北焦坡村村委会","1"
"老人","郑州十八里河收费站(京广快速路出口)","1"
"老人","梨树东出口(G1京哈高速东北向)","1"
"老人","龙阳大道","1"
"儿童","光谷创业街","1"
"老人","墨水湖大桥","1"
"老人","山东高速","1"
"老人","少先路与民族东路交叉口","1"
"老人","新乡市场","1"
"老人","美年大健康(郑州四分院)","1"
"老人","观音垱(公交站)","1"
"老人","兴隆路与火炬二路交叉口","1"
"老人","回河南街社区管理委员会","1"
"孩子","新安镇人民政府","1"
"老人","省武警总队(公交站)","1"
"老人","长青收费站(四环线出口)","1"
"行人","汉中","1"
"老人","G12珲乌高速","1"
"孩子","二七广场","1"
"老人","东吴大道四明路(公交站)","1"
"老人","南部战区总医院(越秀院区)","1"
"老人","秦淮区中医医院","1"
"老人","玉湛高速","1"
"行人","寿宁收费站(G4012溧宁高速入口)","1"
"老人","松原西收费站(G12珲乌高速入口)","1"
"老人","长沙银行(怀化分行)","1"
"行人","大同收费站(G55二广高速出口)","1"
"行人","赛格隧道","1"
"男子","铜陵路街道办事处","1"
"老人","逻岗镇人民政府","1"
"男子","银座旅游文化东路恒大帝景店","1"
