reason,location,count
对周围环境不熟悉,北京大兴国际机场工作区,10
对周围环境不熟悉,上海浦东国际机场,7
迷路人员年龄过大,G0421许广高速,7
迷路人员年龄过大,长安医药,6
对周围环境不熟悉,北京大兴国际机场建设指挥部,5
迷路人员年龄过大,沙坪坝,4
迷路人员年龄过大,G4京港澳高速,4
迷路人员年龄过大,滁州(南京国际博览中心),4
迷路人员年龄过大,万达广场,4
受天气影响,古城供销,3
迷路人员年龄过大,包河大道,3
迷路人员年龄过大,G40沪陕高速,3
迷路人员年龄过大,峨山互通,3
迷路人员年龄过大,龙门石窟,3
迷路人员年龄过大,G72泉南高速,3
迷路人员年龄过大,逻岗镇人民政府,3
迷路人员年龄过大,G25长深高速,3
迷路人员年龄过大,G55二广高速,3
迷路人员年龄过大,G56杭瑞高速,3
迷路人员年龄过大,G50沪渝高速,3
迷路人员年龄过大,G5京昆高速,3
迷路人员年龄过大,G65包茂高速,3
迷路人员年龄过大,万达广场(合肥包河店),3
迷路人员年龄过大,安德,3
迷路人员年龄过大,南京江北新区,3
迷路人员年龄过大,长江路,3
迷路人员年龄过大,大唐西市,3
迷路人员年龄过大,八一路与归德路交叉口,3
迷路人员年龄过大,解放路,3
迷路人员年龄过小,朝阳路,3
迷路人员年龄过大,大同路与福寿街交叉口,3
对周围环境不熟悉,洪崖洞民俗风貌区,2
受天气影响,太舞度假小镇,2
对周围环境不熟悉,越秀公园,2
迷路人员年龄过大,盘锦银行(盘山支行),2
对周围环境不熟悉,上海虹桥站,2
对周围环境不熟悉,北京市人民政府(旧址),2
对周围环境不熟悉,朝阳公园,2
对周围环境不熟悉,北京南站,2
对周围环境不熟悉,中共咸阳市公安局渭城分局纪律检查委员会,2
迷路人员年龄过大,新站区,2
对周围环境不熟悉,岗厦北(地铁站),2
迷路人员年龄过大,雀儿山公园,2
迷路人员年龄过大,三板溪公园,2
迷路人员年龄过大,鸳鸯池公园,2
迷路人员年龄过大,十二生肖公园,2
