"time","location","count"
"夏季下午","上海浦东国际机场","13"
"春季上午","上海浦东国际机场","12"
"春季下午","上海浦东国际机场","12"
"秋季晚上","上海浦东国际机场","12"
"冬季上午","上海浦东国际机场","11"
"冬季下午","上海浦东国际机场","10"
"夏季晚上","上海浦东国际机场","8"
"春季早上","上海浦东国际机场","7"
"夏季上午","上海浦东国际机场","7"
"冬季晚上","上海浦东国际机场","7"
"秋季下午","北京大兴国际机场工作区","7"
"春季下午","上海虹桥站","6"
"夏季下午","上海虹桥国际机场","6"
"春季凌晨","上海浦东国际机场","6"
"秋季下午","上海浦东国际机场","6"
"秋季下午","上海虹桥国际机场","6"
"秋季下午","北京大兴国际机场建设指挥部","6"
"夏季下午","北京大兴国际机场工作区","5"
"夏季晚上","上海虹桥国际机场","5"
"夏季晚上","北京大兴国际机场建设指挥部","5"
"冬季凌晨","上海浦东国际机场","5"
"秋季上午","上海浦东国际机场","5"
"冬季下午","北京大兴国际机场工作区","5"
"秋季晚上","洪崖洞民俗风貌区","4"
"夏季晚上","解放碑步行街","4"
"夏季深夜","洪崖洞民俗风貌区","4"
"春季下午","新街口(地铁站)","4"
"秋季晚上","解放碑步行街","4"
"夏季上午","新街镇工业园区","4"
"夏季晚上","广州白云国际机场店","4"
"春季晚上","上海浦东国际机场","4"
"春季下午","广州白云国际机场","4"
"秋季早上","上海浦东国际机场","4"
"春季晚上","重庆江北国际机场","4"
"冬季中午","北京大兴国际机场工作区","4"
"秋季上午","北京大兴国际机场工作区","4"
"春季晚上","广州白云国际机场店","4"
"春季上午","G0421许广高速","4"
"春季深夜","解放碑步行街","3"
"春季晚上","重庆朝天门广场(暂停开放)","3"
"冬季上午","广州白云国际机场店","3"
"秋季晚上","武汉大学","3"
"夏季晚上","厦门东山宾馆","3"
"冬季晚上","鹅岭公园","3"
"冬季上午","重庆江北国际机场","3"
"秋季凌晨","洪崖洞民俗风貌区","3"
"秋季晚上","鼓浪屿","3"
"春季晚上","新街口(地铁站)","3"
"春季下午","新街镇工业园区","3"
"春季晚上","中山公园","3"
"夏季凌晨","杭州萧山国际机场","3"
"夏季晚上","北京首都国际机场3号航站楼","3"
"夏季早上","北京首都国际机场3号航站楼","3"
"春季下午","天府永汇","3"
"春季晚上","上海虹桥国际机场","3"
"春季上午","杭州萧山国际机场","3"
"春季下午","北京首都国际机场3号航站楼","3"
"春季凌晨","北京大兴国际机场工作区","3"
"春季下午","北京大兴国际机场建设指挥部","3"
"春季下午","上海虹桥国际机场","3"
"冬季上午","北京大兴国际机场建设指挥部","3"
"冬季晚上","上海虹桥国际机场","3"
"冬季下午","深圳宝安国际机场","3"
"冬季早上","北京大兴国际机场建设指挥部","3"
"冬季晚上","北京大兴国际机场建设指挥部","3"
"冬季下午","广州白云国际机场店","3"
"冬季下午","上海虹桥国际机场","3"
"秋季上午","北京大兴国际机场建设指挥部","3"
"冬季下午","成都双流国际机场","3"
"春季下午","北京大兴国际机场工作区","3"
"冬季下午","北京大兴国际机场建设指挥部","3"
"秋季下午","上海虹桥国际机场2号航站楼","3"
"冬季早上","北京大兴国际机场工作区","3"
"秋季晚上","北京大兴国际机场工作区","3"
"冬季下午","光谷二路","3"
"秋季深夜","武汉大学","2"
"秋季凌晨","帝都广场写字楼","2"
"秋季晚上","观音桥","2"
"秋季下午","太古汇","2"
"夏季晚上","朝阳公园","2"
"夏季晚上","新街口(地铁站)","2"
"夏季下午","香港中文大学","2"
"夏季深夜","解放碑步行街","2"
"夏季下午","洪崖洞民俗风貌区","2"
"夏季下午","IFS国金中心","2"
"夏季傍晚","奥林匹克森林公园","2"
"夏季下午","解放碑步行街","2"
"春季下午","天津站(地铁站)","2"
"春季晚上","菜园坝","2"
"春季凌晨","解放碑步行街","2"
"春季晚上","洪崖洞民俗风貌区","2"
"冬季晚上","洪崖洞民俗风貌区","2"
"冬季下午","重庆江北国际机场","2"
"秋季晚上","大连海事大学","2"
"秋季上午","花乡茶叶","2"
"秋季早上","长沙大学城·河西大学城","2"
"夏季上午","北京路步行街","2"
"夏季傍晚","珠江新城(地铁站)","2"
"春季上午","上海虹桥站","2"
"春季晚上","武汉大学","2"
"春季上午","洪崖洞民俗风貌区","2"
"春季早上","洪崖洞民俗风貌区","2"
"冬季晚上","广州白云国际机场店","2"
"冬季上午","北京大兴国际机场工作区","2"
"冬季深夜","洪崖洞民俗风貌区","2"
"冬季晚上","司门口","2"
"秋季晚上","上海虹桥站","2"
"秋季下午","洪崖洞民俗风貌区","2"
"秋季下午","圆明园遗址公园","2"
"秋季上午","北京市人民政府(旧址)","2"
"秋季下午","广州东站","2"
"秋季深夜","重庆朝天门广场(暂停开放)","2"
"秋季下午","解放碑步行街","2"
"秋季晚上","朝阳公园","2"
"夏季下午","上海虹桥站","2"
